"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"15-2021.00",4.91,4,5.25,3.75,4.75,4.88,4.62,6,2.5,5.25,5.25,5,5,2.75,3.75,3,0,3.88,1.75,3.25,5.12,4.75,1
"15-2031.00",5,3.88,4.38,3.12,4.12,4.38,4,4.75,2.75,4.5,4.75,4.38,4,2.25,4.12,3,0,2.38,2.12,2.75,4.75,4,1
"15-2041.00",4.6,3.88,4.88,3.25,3.75,4.75,4.25,5.38,2.75,5.12,5,5,3.75,2.88,3.75,2.88,0,3,1.75,2.75,5,4.88,1
"15-2041.01",4.8,4.25,4.88,3.38,3.88,4.88,4.25,4.75,2.75,4.25,5.12,5.12,3.88,2.75,4.38,3,0,2.88,2.12,3.25,5,5,1
"15-2041.02",4.1,3.88,4.25,3.25,3.5,3.88,4,3.62,2.62,3.25,4.25,4.12,3.38,3,3.88,3,0,2.75,1.75,2.12,4.25,4.12,1
"17-1011.00",4.44,4.38,5.12,4,4.5,4.12,4.25,4.38,2.88,4.25,4.88,4.88,4.38,3.12,4.62,3.12,2,3.38,2.62,4.88,4.25,4.12,1
"17-1012.00",3.86,3.88,4,3,4,4,4,3,2.38,3,4,4.12,3.88,2.75,3.88,3,0.62,2.25,3,4,4,4,1
"17-1021.00",3.59,3.62,3.88,3.5,3,4,3.5,3,2.88,3.12,4.12,4,3,3,3.38,2.88,0.62,2.88,2.62,3.38,4.12,3.88,0
"17-1022.00",4.47,3.75,4.12,3.88,3,4,3.88,4.12,2.75,4.12,4.12,4.12,2.88,3.12,3.62,3.25,3,3.12,2.88,3.62,4,4,1
"17-1022.01",4.5,3.75,4,4.25,3.25,4.12,4,4.88,3,4.12,4.75,4.5,3.12,3.12,3.75,3.25,2.38,2.75,2.75,3.62,4.75,4,1
"17-2011.00",4.51,4,4.75,3.25,4,4.25,4,4.75,2.62,3.75,4.88,4.75,4.12,3.12,4.12,3.12,0,2.62,2.75,3.38,5.12,4.75,1
"17-2021.00",4.46,4,4.25,3.25,3.62,4.12,4,4,2.62,3.88,4.12,4.62,3.5,3.12,4.25,3.12,0.88,2.75,2.88,3.38,4.88,4.38,1
"17-2031.00",4.37,4.5,4.75,3.88,4.12,4.75,4,4.38,2.62,3.88,5,4.88,4.75,3.25,4.75,3.25,0,3.38,2.12,3.75,4.88,4.5,1
"17-2041.00",4.86,4.88,4.88,3.88,3.88,4.62,4.62,4.25,2.75,4.12,5,4.38,4.12,3.62,4.62,3.38,0.25,3,2.38,3.75,5,4.12,1
"17-2051.00",4.13,4.25,4.75,3.88,4,4.12,4,4.88,3,4.38,5,5,4,3.62,4.88,3.12,1.62,3.62,2.75,4.12,5,4,1
"17-2051.01",4.55,4.12,4.88,3.25,4.12,4.12,4.12,4.38,2.62,4.25,4.88,4.75,3.88,3,4.5,3,0.75,3,2.25,4.25,4.5,4.12,1
"17-2061.00",4.62,3.88,4.38,3,3.5,4,3.75,3.25,2.75,3,4.62,4.38,3.62,2.75,4,3,0,2,2.25,3.88,4.25,4,1
"17-2071.00",4.43,3.5,4,3.12,3.62,4,4,4,2.38,3.62,4.38,4.5,3.38,2.88,4.25,3.12,0.12,2.25,2.88,3.25,4.75,4.12,1
"17-2072.00",4.53,3.88,4,3.38,3.75,4,4,3.88,2.75,3.12,4.12,4,3.88,3,4.12,3.12,0.12,2.75,2.75,4.12,4.25,4.12,1
"17-2072.01",4.39,3.62,4.25,2.88,3.38,3.75,3.75,3.12,2.12,3.25,4.12,3.88,3.12,2.5,3.5,2.88,0.25,2.12,2.12,3.12,4,3.75,1
"17-2081.00",4.63,3.88,4.25,3.5,3.62,4.5,4,4,3,3.88,4.62,4.25,3.88,3.12,4.5,3.75,0.25,2.88,3.12,3.38,4.5,4.5,1
"17-2081.01",4.66,4.25,4.88,3.5,4,4.25,4.25,4.62,2.88,4.38,4.75,4.62,3.88,2.88,4.38,3.25,1,3.25,2.62,4.25,4.5,4.25,1
