"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"33-1021.01",4.06,3.75,4,4,3.88,4,3.88,3.12,3,3,4.12,4.25,3.75,3.75,4.38,3.38,2.88,3.75,3.75,3.75,4,3.88,1
"33-1021.02",4.18,3.62,4.25,3.75,3.62,4.12,3.75,2.5,2.62,2.5,4.25,4.38,3.25,3.12,4.38,3.5,3.5,3.5,3.5,3.5,4,4,1
"33-2011.01",3.91,3.12,3.88,3.62,3,3.62,3.38,2.38,2.75,2.12,4,3.88,3,3.12,4,3.12,3.12,3.25,3.12,3.25,3.5,3.12,1
"33-2011.02",3.96,3.12,3.62,3.5,3,3.5,3.25,2.12,2.62,2.12,4,3.88,3,3.75,4,3.75,3.75,2.88,3.25,3.75,3.12,3,1
"33-2021.01",3.78,3.88,3.88,4,3,4,3.88,2.62,2.75,2.62,4,4,2.88,3.88,4.5,3.12,2.12,3.12,2.88,3.38,3.75,3.75,0
"33-2021.02",4.42,3.88,4.25,4.38,3.5,4.38,4,2.38,2.62,2.25,4.25,4.38,3,3.25,4.25,3.25,2.38,3.38,2.88,3.38,3.88,3.75,1
"33-2022.00",3.76,3.12,3.62,3.88,2.88,3.62,3.12,2.62,2.25,2.62,4,4,3,3.25,4.12,3.12,2.38,3.25,2.88,2.88,3.5,3.38,0
"33-3011.00",3.54,2,3.12,2.12,1,2.88,2.88,0.25,1.5,0.5,3.12,3.12,0.88,2.12,3.5,3.12,0.62,2.12,2.38,0.75,2.75,2.12,0
"33-3012.00",3.83,2.88,3.62,3.12,2.5,3.88,3.25,1.75,2.25,2,4,4,2.38,2.88,4,3.75,2,2.88,3,2.62,3.38,3.12,0
"33-3021.01",4,3.5,4.12,3.25,3.75,4.25,3.75,2.38,2.88,2.5,4,4.12,3.25,3,4.25,3.12,1.5,3.12,2.88,3.25,4,4,1
"33-3021.02",4.17,3.5,4,3.88,3.12,4,3.88,2.75,2.25,2.38,4,4.12,2.88,3.12,3.5,3.12,1.5,2.25,3,2.88,4,3.88,1
"33-3021.03",4.08,3.75,4.25,3.62,3.75,4.12,3.62,2.38,2.5,2.38,4,4.12,3,2.75,4.25,3.38,2,3.25,3,3,4,3.88,1
"33-3021.05",3.84,3.12,4,3.38,2.88,4,3.38,2.12,2.25,2.5,4,4,2.38,3.12,4.12,3.38,1.5,2.75,2.75,2.38,4,3.75,0
"33-3021.06",4.91,3.88,4.5,4.25,3.75,4.62,3.88,2.88,2.88,2.62,4.62,4.38,3.5,3.12,4.38,3.12,0.62,3.62,2.25,3.25,4.5,4.5,1
"33-3031.00",3.68,3.12,3.75,3.5,3,4,3.12,2.25,2.25,2.5,4.12,4,3,2.75,4.12,3.25,3.25,3,3,2.38,3.75,3.75,0
"33-3041.00",3.34,2.38,3,2.25,2.25,2.75,3,1.5,2.25,1.75,3.5,3.88,2.25,2.5,3.12,2.25,2.25,2.12,2.12,2.12,3,2.5,0
"33-3051.01",3.84,3,4,3.62,3,4,3.75,2,2.88,2.12,4,4,3,3.25,4,4,2.88,3,3.5,2.75,3.88,3.75,0
"33-3051.03",3.91,3.25,4,3.38,3,4,3.25,1.75,2.38,2.25,4.12,4,3,3.12,4.12,3.5,1.88,3,3,2.88,3.88,3.88,1
"33-3052.00",4.03,3,3.88,3.38,3,3.88,3,2,2.25,2.12,4,4,3,3,4,3.25,2.75,3.12,2.75,2.88,3.25,3.25,1
"33-9011.00",3.93,3,3.38,2.88,2.88,3.88,2.88,1.5,1.62,1.25,3.88,3.88,2.62,2,3.88,2.75,1.62,2.12,3,2.12,3.5,3,1
"33-9021.00",4.16,3.12,4,3.5,3.38,4.12,3.38,2.25,2.12,2.38,4,4,3.12,3,4.12,3.25,1.12,2.75,2.62,2.25,4,4,1
"33-9031.00",3.8,2.62,3.5,3.5,2.12,3.75,3.12,1.38,2.12,1.5,3.75,3.75,2.12,3.25,4.12,4,0.38,3.38,3,2.25,3.12,3.12,0
"33-9032.00",2.59,2,3,3.12,2,3,2.88,1,1.88,1,3.62,3.62,2,2.88,3.5,3.75,1.62,2.38,2.38,2.12,2.88,2.38,0
"33-9091.00",3.13,1.88,2.62,1.38,0.88,2.62,2.38,0.38,1,0.5,3.12,3.62,0.88,2,3.12,2.88,1.5,1.38,2.5,1.25,2,1.75,0
"33-9092.00",3.18,2.75,3.12,3.75,1.88,3,3,0,2,0.62,3.75,4,2,2.75,4.12,3.38,1.12,2.88,2.62,2.12,2.88,2.62,0
"33-9093.00",2.63,3,3.38,3.88,2.5,3.5,3.25,1.5,2.62,1.5,3.75,3.62,2.38,3.62,3.88,3.75,0.38,2.88,2.88,2.75,3.12,2.62,0
"33-9099.02",4.17,3,3.12,3.12,2.75,3.5,3,2.12,2.25,2.62,3.62,3.62,2.75,2.75,3.62,3.5,1.88,2.62,2.25,2.62,3.12,3.38,1
"35-1011.00",3.48,3.12,3.75,2.88,3.12,3.38,3.25,3,2.38,3,4,4,3.38,3,3.75,3,0,2.12,2.88,3,3.38,3.38,0
"35-1012.00",3.54,3,3.12,2.62,3,3,3.12,2.88,2.62,2.75,3.88,3.75,3,2.75,3.12,2.75,0.62,2.12,3,2.88,3.5,3.12,0
"35-2011.00",3.16,2.25,2.75,1.38,2,2.25,2.88,1.12,2,1.62,3,2.75,2,1.88,2.62,2.62,0,1.75,2.5,1.5,2.75,1.88,0
"35-2012.00",3.11,3,3,2,2.38,3,3.12,2.12,2.12,2.75,3.5,3.38,2.5,2.5,3.12,3,0.12,1.88,3,2.75,3,2.62,0
"35-2013.00",3.33,3.12,3.12,2.12,3.12,3,3,2,2,2.38,3.38,3.12,3.38,2.12,3.12,3,0,2,2.12,2.38,3,2.5,0
"35-2014.00",3.22,2.88,2.88,2.75,2.38,2.88,3.12,2.12,2,2.25,3,3.25,3,3,3,2.88,0.75,2.12,2.88,2.88,2.88,2.25,0
"35-2015.00",3.32,2.88,2.88,2.38,2.25,2.75,3,2.12,2.12,2,3,3,2.38,2.88,2.88,2.88,0,2.5,2.88,2.5,2.88,2.5,0
"35-2021.00",3.17,2.62,2.12,1.88,2,2.12,2.5,1.38,1.75,1.38,3,2.25,2.12,2,2.25,2.12,0.5,1.5,2,1.88,2.38,2.12,0
"35-3011.00",3.41,2.88,3,2.75,2.88,3,3,2.12,2.75,2.25,3.75,3.75,2.75,2.62,3.25,3,0.12,2.12,2.88,2.62,3,2.88,0
"35-3021.00",3.05,2.5,2.12,1.88,1.88,2,2.75,1.75,1.88,1.88,2.88,2.75,1.62,2.12,2.5,2,0.62,1.75,2.62,2,2.5,1.88,0
"35-3022.00",3.38,2.5,2.5,2.75,2.5,2.12,2.62,2,2.38,2.5,2.88,3,2.38,2.62,2.75,2.62,0,2.12,2.75,2.38,2.75,2.5,0
"35-3022.01",2.65,2.75,2.62,2.62,2.38,2.5,2.75,1.88,2.5,2,3.25,3.5,2.12,2.5,2.75,2.5,0.38,2.62,2.5,2.38,3.12,2.62,0
"35-3031.00",2.86,2.12,2.25,2.12,2.12,2.25,2.25,1.75,2.88,1.62,3,3,2.12,2.25,2.88,2.25,0.5,2,2.62,1.88,2.88,2.12,0
"35-3041.00",2.8,2.12,2.38,1.62,1.88,2.38,2.25,1,1.38,1.5,3.12,2.88,1.75,1.75,2.5,2.12,0.5,0.88,1.88,2,2.62,1.88,0
"35-9011.00",2.91,2.25,2,1.88,1.5,2.12,2.25,1,1.38,1.25,2.88,2.5,1.75,1.88,2.12,2.12,0.62,1.5,1.88,1.62,1.62,1.25,0
"35-9021.00",2.46,2.12,2,1.88,1.75,2,2.12,0.88,1.5,1.25,2.25,2,1.88,2,2,2,1,2,2,1.88,2,1.5,0
"35-9031.00",2.46,2.5,2.75,2.5,1.75,2.62,2.62,2,2,2,3.12,3.12,1.75,1.88,2.88,2.62,0.25,2,2.5,1.75,2.62,2.38,0
"37-1011.00",3.52,2.88,3,2.25,2.75,3,3,2,1.88,2.88,3.5,3.75,2.38,2.12,2.88,2.5,1,2,2.5,2.12,3,3.25,0
"37-1012.00",3.72,3,3.25,2.75,3,3.12,3.12,2,2,2.38,4,4,3.12,2.88,3.12,3,1.62,2,2.88,3.12,3.5,3.25,0
"37-2011.00",2.94,2.62,2.62,2.12,1.62,2.62,2.75,0.25,0.5,0.25,2.88,2.88,1.62,2,2.75,2.12,0.38,1.12,2,2,2.25,1.88,0
"37-2012.00",2.74,2.25,2.38,1.75,1.5,2.38,2.12,0.75,1.12,1,3,2.75,1.5,1.75,2.25,2.12,0.25,1.12,1.75,1.88,2.5,1.75,0
"37-2021.00",3.25,3,3,3.25,2.75,3,3,2.25,2.12,2.88,3.62,3.62,2.75,3,3,2.88,2.25,2.38,2.88,2.88,3,3,0
"37-3011.00",3.2,2.38,2.38,1.88,1.88,2.5,2.62,0.5,1.25,1,3,2.75,1.88,1.88,2.88,2.88,1.62,1.25,1.88,2.75,2,1.38,0
"37-3012.00",3.5,3,3,2.5,2.25,2.88,3,2,1.75,2.62,3.25,3,2.12,2.25,2.88,2.62,1.62,2.38,2.25,2.38,3,2.62,0
"37-3013.00",3.49,2.88,3,2.75,2.25,3,3,1,1.75,0.88,3.38,3.12,2.25,2.38,3.25,3.12,2.5,2,2.88,3.12,2.62,2.5,0
"39-1011.00",3.52,2.88,3.12,3.12,2.88,3.62,3,2.12,2.38,2.75,3.88,3.88,3,3,4,3.5,0.25,3.25,2.88,1.88,3,3,0
"39-1012.00",2.88,2.25,3,2.25,2.12,3,3,2.25,2.12,2.25,3.12,3.38,2.12,2.38,3.12,3.25,0,1.62,2.5,2.12,3,2.88,0
"39-1021.00",4.08,3,3.5,2.62,3.12,3.25,3,2,2.12,2.25,4,4,3.12,2.62,3.88,2.88,0.12,2,2.88,2.25,3.5,3.75,1
"39-1021.01",3.88,3.38,3.88,2.75,3.38,3.5,3.38,3.12,2.75,3,4,4,3.38,2.5,3.62,2.5,0.25,2.38,2.75,2.5,3.75,3.88,1
"39-2011.00",3.77,2.88,3.5,2.75,3.12,3.25,3,1.75,2.25,1.88,3.88,4,3.25,2.38,4,2.88,1.88,2.5,2.88,2.5,3,2.88,0
"39-2021.00",3.74,2.62,3,2.12,1.75,2.88,2.75,1.5,2,1.75,3.25,3.25,1.88,2.12,3.25,2.38,0.5,2,2.12,2,2.75,2.25,0
"39-3011.00",3.38,2.75,3,2.75,1.88,2.88,3.12,2,2.25,2.75,3.75,3.75,1.75,2.88,3.12,3,0.12,2.75,2.62,2.12,2.88,1.88,0
"39-3012.00",3.07,2.75,3.12,2.38,2.12,2.75,3.12,2.38,2.25,2.62,3.88,3.88,1.75,2.75,2.88,3,0.12,2.12,2.75,2.12,3.12,2.75,0
"39-3021.00",2.77,3,2.88,2.63,1.75,2.88,3.13,0.25,1.13,0.63,3.63,3.38,2.13,2.75,3,3.13,1.13,1.63,2.38,3.13,3.13,2.88,0
"39-3031.00",2.44,2.12,2.38,2.12,2,2.25,2.25,1.25,1.75,1.75,2.88,3,2,2.12,2.88,2.12,0.75,2,2,1.88,2.5,2.12,0
"39-3091.00",2.4,2,2.5,1.88,1.75,2.38,2.12,1.12,1.88,1.25,3,3.75,1.75,1.88,3.12,2.12,0.62,1.75,2,1.62,2.62,2,0
"39-3092.00",3.69,3,2.88,2.5,3.12,2.88,3,1,1,1.25,3.88,3.12,3.12,2.25,3,2.75,0,1.62,1.38,2.75,2.88,2.88,0
"39-3093.00",2.6,2.25,2.62,1,1.62,2.38,2.62,0.25,1,0.38,3,3.25,0.88,0.88,2.88,2.12,0.12,0.88,1.62,0.5,2.88,2.25,0
"39-4011.00",3.94,2.88,3.25,2.62,2.62,3,3.38,1.12,1.25,1.25,4,4,2.5,1.88,3.25,2.25,0.75,1.25,2,3.12,3.38,3,1
"39-4021.00",3,2,2.5,1,1.62,2.5,2.75,1.12,1.38,1.5,3.88,3.62,1.5,1,2.62,2.12,1.5,0.75,2.25,1.62,3,2.5,0
"39-4031.00",3.54,3.12,3.75,2.88,3,3.12,3.12,2.75,2.75,2.88,3.88,4,3,2.62,3.25,3.12,1.62,2.75,3,2.88,3.88,3.88,0
"39-5011.00",3.29,2.12,2.88,2,2.25,2.88,2.38,0.88,1.5,1.25,3.38,3.38,2.62,1.38,2.88,3,0,1.62,2.25,3,2.88,2,0
"39-5012.00",3.23,3,3.12,2.88,3.12,3,3,1.88,2.12,2,3.25,3.38,3.12,2.5,3.12,2.88,0,2.12,3,3.62,3,2.12,0
"39-5091.00",3.65,3.38,3.25,2.75,3.62,3,3.25,2,2.12,2.25,4,3.88,3.88,2.88,3.12,3.12,0.12,2.75,2,3.88,3,3,0
"39-5092.00",2.76,2.5,2.38,2,2,2.25,2.12,0.38,0.88,1.12,2.75,2.75,2.12,2,2.5,2.25,0,1.75,2,2,2.25,1.75,0
"39-5093.00",3.23,2.25,2.38,1.75,1.75,2.38,2,0.75,1.38,0.88,2.62,2.88,1.62,1.62,2.25,2.38,0,1.38,2.25,1.62,2.5,2,0
"39-5094.00",3.24,3,3,2.12,3,3,2.88,0.62,1.25,1,3.75,3.75,2.88,2,3,2.75,0,1.88,2.38,2.12,3.25,2.88,0
"39-6011.00",2.87,2.25,2.25,2.12,2.12,2.12,2.5,1.62,2.12,1.5,3.12,3.62,2,2.38,2.75,2.88,2.25,2,2.88,2.12,2.88,2.12,0
"39-6012.00",3.4,3.12,3,2.25,3.12,2.75,3,1.88,3.12,1.88,4,4,3,2.12,3.5,2.5,0.88,2.12,2.12,2,3.25,2.88,0
"39-7011.00",3.24,2.5,2.88,1.88,2.25,2.88,2.75,1.12,2.5,1.12,4,4.12,2.5,1,3.12,2.25,1.5,1.38,2.5,1.38,3,2.12,0
"39-7012.00",3.34,3.13,3.38,2.5,3.38,3.25,3.25,2.38,2.5,2.88,4.13,4.13,3.38,2.5,3.38,2.63,2.88,2.38,3,2.5,3.63,3.13,0
"39-9011.00",3.61,2.88,3,2.88,3,3,3,1.88,2.62,1.88,3.75,3.5,2.88,2.38,3.38,3.12,0.25,2.75,2.88,2.62,3.12,3,0
"39-9011.01",3.65,2.88,3.25,3,3.12,3.12,3,0.75,2.75,1.5,4,4,3.12,2.25,4,2.88,1.75,2.5,3,2.75,3,3,0
"39-9021.00",3.5,2.62,3,2,2,3,2.88,1.5,1.88,1.75,3.62,3.38,1.88,2,3,2.5,0.38,1.62,2.5,2.12,3,2.88,0
"39-9031.00",3.28,2.88,2.88,2.12,3,2.88,3,0.62,2.12,0.62,3.62,3.75,3.12,2.5,2.88,3,0.62,2,2.88,2.38,3,2.88,0
"39-9032.00",3.92,3,3.25,2.5,3.12,3,3,2,2,2.12,4,4,3.5,2.25,3.12,3,0,2.62,2.88,2.5,3.25,3.12,1
"39-9041.00",3.65,2.88,3.25,2.38,3,3,2.88,2,2,2,4,4,3,2,3.62,2.75,0.62,2.12,2.12,2.12,3.75,3.25,0
"41-1011.00",4.09,3,3.62,2.75,3.12,3,3.12,2.88,2.75,2.88,3.88,4,3.12,2.62,3.62,2.75,0.25,2.88,2.38,2.75,3.38,3.75,1
"41-1012.00",4.05,3.25,4,2.88,3.62,3.75,3.38,3.25,2.62,3.12,4,4.12,3.5,2.62,3.38,2.75,0.12,2.25,2,2.88,4,3.75,1
"41-2011.00",3.48,2.88,2.75,2.12,2.12,2.88,2.88,2.25,2.25,2.38,3.88,3.25,2.12,2.12,2.75,2.75,0,2.12,2.62,1.5,2.88,2.75,0
"41-2012.00",3.74,3,2.88,2.5,2.12,2.62,3,2.38,2.12,3,3.25,3.25,2.12,3,3,2.88,0.25,2.12,2.25,2.12,2.88,2.25,0
"41-2021.00",3.2,2.88,2.88,2.62,2.12,2.75,3,2.38,2.12,2.75,3.88,3.75,2.12,2.12,2.75,3,0.75,2,2.62,2.12,3.12,3,0
"41-2022.00",3.59,3.38,3.12,2.88,2.88,2.88,3,2.25,2.75,2.38,3.62,4,2.38,3,3.12,2.88,1,2.75,2.75,2.75,3.25,2.88,0
"41-2031.00",3.16,2.88,3,2.12,2.88,2.88,2.88,2.25,2.25,2.62,3.62,3.88,2.62,2.12,3.25,2.62,0,2.12,2.5,2.12,3,3,0
"41-3011.00",3.63,3.25,3.62,2.75,3.88,3.25,3.38,2.88,3,2.88,4,4,3.38,2.62,3.12,2.88,0.5,2.62,2.88,2.88,3.88,3.75,0
"41-3021.00",3.96,3.25,3.62,2.75,3,3.25,3,3,2.5,3,4.12,4.12,3,2.25,3.5,2.5,0,2.12,2.38,1.75,4,3.75,1
"41-3031.01",4.26,3.75,4.62,2.88,3.88,4,3.62,3.75,2.25,4,4.38,4.62,3.25,2.75,4.25,2.88,0,2.88,2.25,1.88,4.38,3.88,1
"41-3031.02",4.24,2.88,4.25,2.12,3.38,3.5,3.25,3,2.75,3.25,4,4.25,2.88,2.38,3.62,2.5,0,2.25,2.12,2,3.88,3.88,1
"41-3031.03",3.61,3.75,4.5,3.12,3.38,4.12,3.38,3.75,1.38,4.12,4.38,4.38,2.88,2.62,3.62,2.88,0,2.62,2,2.12,4.25,3.88,0
"41-3041.00",3.26,3,3.75,2.38,3.5,3,3,2,2.75,2.88,4,4,3,2,2.88,2.38,0,2,2.88,2.12,3.75,3,0
"41-3099.01",4.56,3.38,4.12,2.88,3.12,3.75,3.5,3.88,2.5,3.5,4.25,4.25,2.75,2.38,3.5,2.75,0.12,2.25,2,2.12,3.88,3.88,1
"41-4011.00",3.62,3,3.88,2.75,3.62,3.25,3.25,2.75,3.12,3.12,4.5,4.62,3.62,2.12,3.62,2.25,0,2.88,2.12,2.25,4,3.88,0
"41-4011.07",3.41,3.5,3.75,3,3.25,3.38,3.5,3.25,2.5,2.88,4.12,4.25,3,2.25,3.38,2.62,0.75,2.5,2.25,3.38,3.75,3.5,0
"41-4012.00",3.77,3,3.25,2.38,3,3.12,3.25,2.12,2,2.12,4.12,4.12,3,2,3,2.62,0.38,2.12,2.12,2.38,4,3.62,0
"41-9011.00",2.74,3,3,2.38,3,3,3,2.12,2.88,2.12,3.75,3.88,3,2.5,3,2.88,0.38,2,3,3.12,3,3,0
"41-9012.00",1.61,2.5,2.13,1.13,1.88,2,2,0.63,1,0.75,2.63,2.63,2.25,0.25,1.88,2.38,0.75,0.25,1.63,1.75,2.5,2,0
"41-9021.00",3.69,2.5,4,2.12,2.62,3.12,3,2.75,2,2.12,4,4,2.62,2,3.5,2,0.5,1.25,2.12,1.5,4,3.62,0
"41-9022.00",3.45,3.12,3.88,3,3.12,3.25,3,3,2.75,3,4,4,2.75,2.62,3.5,2.5,1.75,2.38,2.5,2.88,4,3.12,0
"41-9031.00",4.26,3.88,4,3,4,4,4,3.62,3.12,3.62,4.75,5,3.75,3,3.88,2.88,0,2.75,2.62,3.12,4.5,4.12,1
"41-9041.00",2.92,1.63,2.63,0.75,2.5,2.75,2,0.75,1.13,0.88,3.5,4,2.38,0.5,2.63,2.63,0,0.5,1.75,0.25,3.13,3,0
"41-9091.00",2.42,2.75,2.88,1.38,3,2.88,2.88,1.62,2.12,2,3.62,3.75,3,0.5,2.88,2.38,0.25,1.12,2.12,1.25,3,2.88,0
"43-1011.00",4.03,3,3.62,2.38,3,3.25,3.25,2.75,2.5,2.88,4,4,3.38,2.62,3.62,2.62,0,2.38,2.88,2.62,4,4,1
"43-2011.00",3.21,2.5,2.62,1.88,1.75,2.5,2.38,1.38,2,1.75,3.62,3.88,1.75,2.12,2.62,2.38,0,2,2,1.62,2.75,2.5,0
"43-2021.00",3.4,2.38,2.75,2.5,2.25,2.88,2.5,1.38,1,1.63,3.88,3.88,2,1.5,2.88,2.75,0,1.5,2,1.13,3.13,2.75,0
"43-3011.00",4.22,3,2.88,2.88,2.75,3.12,2.88,2.62,2.12,2.75,3.88,3.88,2.62,2.62,3,3,0,2.12,2.12,2,3.75,3.5,1
"43-3021.01",3.76,3,3,2.25,2.12,3,3,2.12,2.12,2.75,3.25,3.62,2.12,3,3.12,2.88,0,1,2,0.75,3,2.88,0
"43-3021.02",3.53,3,3,2.25,2.12,3,3.12,3,2,3,3.62,3.5,2.12,2.25,3,2.75,0,2.12,2.12,1.5,3.12,3,0
"43-3031.00",3.53,3,3.12,2.88,2,3.25,3.12,3.88,2.25,3.88,4,3.75,1.75,2.88,3,2.88,0,2.25,2,1.75,3.88,3.62,0
"43-3041.00",2.96,3,3.12,1.5,2,3.12,3,2.38,2.38,3,3.75,3.88,1.5,3,3.25,3,0.12,1.5,2.5,1.25,3,3,0
"43-3051.00",3.74,2.75,3,2.5,2,3,3,3.25,1.88,3.25,3.88,3.62,2.25,2.5,2.88,2.75,0,1.62,2.25,1.38,3.75,3.5,0
"43-3061.00",3.56,3,3.38,2,2.38,3.12,3,2.88,2,2.12,4,4,2.38,2,3.12,2.25,0,1.75,2.12,0.88,3.88,3.12,0
"43-3071.00",3.83,3,3.25,2.62,2.38,3.12,3,3,2.12,3.12,3.75,3.88,2.25,2.75,3.25,3,0,2.25,2.88,2,3.12,3,0
"43-4011.00",4.39,3,3.75,2.75,2.38,3.12,3,3,2.38,3.75,3.88,4,2.38,2.62,3.12,3,0,2.5,2.75,2,3.75,3.62,1
"43-4021.00",3.81,2.75,3.12,2.5,3,3.12,3.25,2.5,2.25,2.62,3.75,3.62,2.75,2.12,3.38,3,0,2.88,2.38,2,4,4,0
"43-4031.01",2.85,3,3,1.12,1.75,3,3,1.12,1.88,1.5,3.88,3.88,1,1.5,3.12,3,0,1,2.25,1,3.75,3.75,0
"43-4031.02",3.74,2.62,3,2,2.25,2.88,3,2.75,2,2.5,4,4,1.88,2,2.88,2.25,0,1.62,1.88,1.38,4,4,0
"43-4031.03",3.66,2.75,3,2,1.88,3,3,2,1.5,1.75,3.75,3.88,2.12,1.62,2.88,2.75,0,1.5,2.12,1,3.62,3.12,0
"43-4041.01",3.74,3.25,3.5,2.75,2.25,3.5,3.38,2.38,1.88,2.63,3.88,3.88,2,2.25,3.5,2.88,0,2.63,2.25,1.5,3.63,3.75,0
"43-4041.02",3.23,2.63,3.25,2.63,2.13,3.38,3.13,1.25,1.88,1.5,3.88,4,1.88,1.38,3.13,2.88,0,1.38,2.5,0.25,3.88,3.5,0
"43-4051.00",3.61,3,3,2.75,2.75,3,3,2.12,2.12,2.12,3.75,3.75,2.75,2.25,3.12,2.62,0,2.12,2,1.88,3.38,3.25,0
"43-4051.03",4.14,3.25,3.38,2.88,3.12,3.38,3,2.5,3,2.62,4,4,3.12,2.5,3.5,3.25,0,2.88,2.75,1.88,4,3.88,1
"43-4061.00",3.56,3,3.88,2.62,2.75,3.75,3.25,2.5,1.88,2.25,4,4,2.75,2,3.5,3,0,2,2.5,1.75,4,3.88,0
"43-4071.00",3.56,3.5,2.88,3,2.62,2.88,3,2,2.12,2,3.62,3.12,2.75,2.88,3,2.88,0,2,2.25,2,3,3.12,0
"43-4081.00",3.43,3,3,2.25,3,3,3,2,2.5,2.38,3.75,4,2.38,2.38,3,2.88,0.75,2.12,2.25,2.12,3.12,3,0
"43-4111.00",2.68,2.88,3.12,2.5,2.38,3,3,2,2.38,2,3.88,3.88,2.38,2.5,2.62,2.88,0,2.25,2.25,1,3.75,3.12,0
"43-4121.00",3.33,3,2.62,2.62,2.12,2.75,3.12,1.88,2.25,2.25,3.5,3.75,2,2.62,2.88,2.62,1.12,2.12,2.12,2.25,3.12,3,0
"43-4131.00",3.51,3.25,3.75,2.88,3,3.5,3.62,3.25,2.75,3.25,4.12,4.12,2.75,2.75,3.38,3,0,2.75,2.5,2.38,4,3.88,0
"43-4141.00",4.05,2.75,3.12,2.12,2.12,3,2.88,2.5,2.25,2.88,3.88,4,2.12,2.12,3.12,2.12,0,2.38,2.12,1.75,3.75,3,1
"43-4151.00",3.13,3,3,2.88,2.5,3,3,2.25,2.25,2.88,3.75,3.88,2,2.75,3,2.75,0,2.88,2.62,2.25,3.5,3,0
"43-4161.00",3.38,2.88,3.12,2.62,2.62,3,3.12,2,2.12,2.12,4,4,2.25,2.25,3.25,2.38,0,2,2.5,2,3.88,4,0
"43-4171.00",3.4,2.75,2.88,2.5,2.5,2.88,3,2.25,2.38,2.25,3.5,3.62,2.38,2.5,2.88,2.75,0,2,2.5,2.12,3.25,3.25,0
"43-4181.00",3.77,3,3.12,2.62,2.88,3,3,2,2.38,2.38,3.62,4,2.75,2.25,3,2.88,0.25,2.38,2.75,2,3.38,3,0
"43-5011.00",3.42,3,3.12,2.38,2.38,3.12,3.25,2.62,2.12,2.5,4,3.88,2.38,2.62,3.25,3,0,1.88,2.62,2,3.62,3.12,0
"43-5011.01",3.74,3.25,3.5,2.62,3,3.25,3.12,3.12,2.5,2.88,3.75,4,2.75,2.75,3.38,2.88,0.5,2.5,2.75,2.5,3.62,3.62,0
"43-5021.00",2.69,2.75,2.88,2.12,1.75,2.25,3,1.62,1.88,1.88,3.12,3,1.88,2.62,2.62,2.62,2.25,2,2.88,2.12,3,2.38,0
"43-5031.00",3.9,3.12,3.75,3.25,3.12,3.25,3.62,2.12,3.12,2.25,4.12,4,3,3.75,4,4,0.5,3.25,3.5,2.75,3.38,3.12,1
"43-5032.00",3.82,3,3.5,2.75,2.75,3.38,3.12,2.25,2.75,2.25,3.75,3.88,2.88,2.75,3.25,3.12,0.38,2.75,2.88,2.25,3.38,3.12,0
"43-5041.00",3.54,2.88,2.75,2.5,2,2.75,2.88,2,2,2.12,3.25,3,2,2.88,2.88,2.5,2.12,2,2.25,2.38,3,2.38,0
"43-5051.00",3.57,2.75,3,2.5,2,3,2.88,2.12,2,2.88,3.75,4,1.88,2.75,2.88,2.88,0.12,2.12,2.75,2,3.25,2.75,0
"43-5052.00",3.06,3,2.75,2.25,1.25,2.75,2.88,1,1.25,1.25,3.62,3.5,1.38,2.62,2.75,2.75,2,1.25,2.62,1.88,3,2.25,0
"43-5053.00",2.9,2.62,2.5,2,1.75,2.5,2.62,1.25,1.62,1.62,3,3,1.62,2.62,2.62,2.62,0.25,2.12,2,2,2.75,2,0
"43-5061.00",3.88,3,3.62,2.75,2.88,3.25,3.5,2.5,2,2.88,4,4,2.75,2.88,3.62,3,0.12,2,2.12,2.62,3.75,3.5,1
"43-5071.00",3.59,3,2.88,2.38,2.12,2.88,3,2.12,2.12,2.38,3.12,3.12,2.12,2.88,3,2.38,1.38,2.12,2.25,2.62,3,2.62,0
"43-5081.01",2.77,3,2.88,1.5,2.25,2.62,2.88,2,2.12,2,3,3.5,2.25,2.25,3,2.25,1.12,1.25,2.12,2.5,2.75,2.12,0
"43-5081.02",3.13,2.63,2.5,1.63,1.75,2.63,2.38,1.13,1.38,1.63,3.5,3.13,1.75,2,2.38,2.5,0.25,0.88,2,0.5,2.88,2.25,0
"43-5081.03",2.53,2.62,2.75,2.12,0.88,2.75,2.88,1.75,1.38,1.38,3.5,3.25,1.12,2.38,2.62,2.12,1.38,1.62,2,1.75,2.88,2.75,0
"43-5081.04",2.45,2.75,2.38,1.88,1,2.5,2.75,2,1.38,2.12,3,2.88,1,2.12,2.5,2.62,0.5,1.12,1.38,1.25,3,2.25,0
"43-5111.00",3.62,3.25,3.12,3.12,2.12,3,3,2.62,2.25,2.75,3.5,3.12,2.12,3.12,2.88,3.12,0.88,2.25,2.25,2.5,3,3,0
"43-6011.00",3.52,3.12,3.12,3,3,3.12,3.12,2.62,2.75,2.75,4,4,3,2.75,3,3,0,2.5,2.88,2.25,4,4,0
